customer_message,expected_intent,predicted_intent,correct
@115858 I️ have been buying your products for years and now I️ can’t type I️ on an iPhone and sound like an illiterate fuck so thanks.,hardware_device,unknown,False
@AppleSupport How do I stop #iTunes asking me if I want to see what 'friends' are listening to about every 30 seconds? It's very very irritating!,app_store_purchases,app_store_purchases,True
@AppleSupport iOS11 has destroyed my new (you are still selling it) iPhone SE. Eats battery. Have turned off all background. Pls help me!😎,software_ios,battery_charging,False
@AppleSupport Tested it in both Safari 11.0.1 (12604.3.2) and Chrome 61.0.3163.100. Same device: MacBook Pro 15-inch 2016. Same result in both browsers.,mac_macos,mac_macos,True
@115858 having serious issues keeping my new Apple TV 4K connected to the internet. Never had issues with my previous Apple TV!,wifi_connectivity,wifi_connectivity,True
@AppleSupport I’m trying to recording the screen but the audio doesn’t work. Why?,hardware_device,hardware_device,True
@115858 I did not even reach the repair center for 30 minutes. send me my phone! @AppleSupport #iphone #iphone8 @23490 #iPhoneSE,hardware_device,hardware_device,True
@AppleSupport WiFi etc are all on. I have done “forever” and “renew lease”. I have restarted devices. It connects to personal hotspot but not networks,wifi_connectivity,wifi_connectivity,True
"@AppleSupport @115858 fix my iPhone and it’s stupid ass autocorrect, ” i “ turns into “ I️ “",hardware_device,software_ios,False
"@AppleSupport Hello, I just called in for iTunes product support and your agent hung up on me. Can you DM me to sort this out, please? Thx.",app_store_purchases,app_store_purchases,True
Just purchased a MacBook Pro @115858 @29645. Need service help. Four hour wait time. Someone needs to disrupt this business.,app_store_purchases,app_store_purchases,True
My 7plus was perfect until I updated it. Thanks @115858 . .,software_ios,software_ios,True
@AppleSupport Messages app starts showing message notifictions from the beginnig of time after restart sinc upgrade to iOS 11 on my iphone6.,software_ios,notifications_messages,False
@AppleSupport yes but i don’t get why it said my phone was dead when it was charging perfectly fine the afternoon before,battery_charging,battery_charging,True
@AppleSupport I have already done this. Same link. Many times. My music is not showing even in Not On This iPhone.,hardware_device,unknown,False
Netflix can be viewed on Chrome but not Safari on an iMac. That's a glitch if you ask me. #annoyed @AppleSupport,mac_macos,mac_macos,True
Ei @AppleSupport vcs vão dar um jeito no icloud ou eu posso cancelar a assinatura?,icloud_apple_id,icloud_apple_id,True
@AppleSupport I need help urgently as I’ve Mahabad to purchase and year sucricprition and didn’t mean to,app_store_purchases,app_store_purchases,True
@AppleSupport I’ve been charged almost £200 for a subscription renual for an app I did not authorise... I’ve had to call my bank and stop further payments! Can you contact me immediately!!! - Paige. https://t.co/laokhdu1J5,app_store_purchases,app_store_purchases,True
@AppleSupport when my phone is locked I'm not receiving any sound notifications like new mail arrived or I got a text message.  My sounds are on and notifications are set to always. Please help me as I'm missing stuff.,notifications_messages,notifications_messages,True
Apparently RIP the ability to use my iPhone 8 Plus on speaker phone @AppleSupport @115858,hardware_device,hardware_device,True
"@118721 @AppleSupport @115858  hi!  I am continuously receiving this kind of emails to one of my accounts, (the one that is not registered with my Iphone). Maybe Phishing...?? https://t.co/5vwtXvi446",hardware_device,security_fraud,False
@AppleSupport this is a scam isn’t it? https://t.co/UYMHkkF7TQ,security_fraud,security_fraud,True
@AppleSupport I don’t see a specific mention of Apple Watch. So 5 years?,app_issues,unknown,False
"1) Voici la distance à vol d’oiseaux de chez moi à Vivonne.
2) D’après mon iPhone je suis à Iteuil.
3) D’après mon Apple Watch je suis à Vivonne.
@AppleSupport aidez-moi ! https://t.co/D1dJkNje5J",app_issues,unknown,False
@115858 Do you see this?! @115858 I purchased this song; its on my MacBook but it will NOT sync to my phone. FIX IT. https://t.co/IWbz0v0aFA,app_store_purchases,app_store_purchases,True
@AppleSupport is this you?? Or hacker?? https://t.co/L7N6CEoUr5,security_fraud,security_fraud,True
@AppleSupport thoroughly disappointed with iPhone 7 Plus product service experience in Mumbai. Job No NES25091729255. Lost faith in apple,app_issues,unknown,False
why did @115858 charge me $8.65 to update a free app ??,software_ios,software_ios,True
@AppleSupport Do you make a 32 GB RAM MacBook? The performance on my 16 GB MacBook performs like a Fisher Price toy.,mac_macos,mac_macos,True
"Network calls don’t work since upgrading to ios11 yesterday,can’t hear any audio can only use WiFi/data calls!! @AppleSupport @115858",wifi_connectivity,wifi_connectivity,True
"@AppleSupport I'm still having keychain issues after the recent update. Endless password requests, all passwords on all accounts have",icloud_apple_id,software_ios,False
@AppleSupport My iPhone 7 just made a random beep sound. I don’t know why as I received no notifications nor any kind of warning.,notifications_messages,notifications_messages,True
Am I still allowed to complain about @115858 ios11? My phone app decided to play hide n seek today. @125607 android come at me. https://t.co/wt7sO5T5kh,software_ios,software_ios,True
@AppleSupport WHY DO MY PODCASTS KEEP STOPPING?! Can’t listen to an episode without it stopping every minute. OS 10.13/iTunes 12.7.1.14,app_store_purchases,app_store_purchases,True
"@115858 I've been completely locked out of my Apple/iCloud ID for almost a month! FaceCime, iCloud, iTunes, email, everything (Case 100339492735). I have an iPhone X 256GB arriving today that I won't be able to setup. Questioning why. My @122986 ID is fine BTW. #timeforandroid?",icloud_apple_id,icloud_apple_id,True
"@AppleSupport Painfully slow. Everything takes 10-30 seconds to accomplish (whereas before it was 2-3; seamless). Examples: swiping to open camera from lock screen? 20 seconds before camera is ready. Opening Gmail? 15 seconds for it to load? Doesn't sound like a lot, but drastically slower.",hardware_device,hardware_device,True
"Hey @115858 @AppleSupport we need a lil favour. Safari 11.0.1 &amp; it’s relationship with High Sierra needs to be fixed. Many people are having multiple problems since the High Sierra update, specific sites are not loading. Multiple community posts have not fixed problem. Please help",mac_macos,mac_macos,True
@AppleSupport Thanks but this feature defeats the object of turning it off. I don’t need or want the phone looking for a WiFi service when I’ve turned off,wifi_connectivity,wifi_connectivity,True
"@AppleSupport the new iOS is atrocious! The clock is wrong often, gmail notifications r taking hours to show correct count. Please fix ASAP.",notifications_messages,notifications_messages,True
@AppleSupport iOS 11.1 won’t even update on my phone.. it says I lost internet connection when I didn’t?? https://t.co/FOlucae6mG,wifi_connectivity,wifi_connectivity,True
"@AppleSupport hi, I have an iPhone X and Apple Watch 3, when I have the Apple Watch on my wrist, notifications do not appear on my IPhone. How do I set it up so I get notifications on both devices at the same time? I sometimes miss stuff",notifications_messages,notifications_messages,True
@AppleSupport Both of the network’s[Wifi and cellular] have a speed of 4-5 mbs,wifi_connectivity,wifi_connectivity,True
"@AppleSupport apple pencil has stopped working despite being charged and connected to ipad, any advice?",app_issues,app_store_purchases,False
Never had an issue charging but with iOS 11 it randomly stops charging &amp; WHY does the Bluetooth switch itself on all the time! @AppleSupport,software_ios,battery_charging,False
Aaaaargh @AppleSupport je vais m'arracher les cheveux 😤 impossible d'obtenir une facture pour un produit acheté aux USA pour ma société dans un de vos Apple Store. Je fais comment ?? 🤔,app_issues,unknown,False
@AppleSupport how long must I wait for iCloud to stop telling me that the birthday is invalid? Just because I hit the wrong year? That is very annoying when signing up for an iCloud account,icloud_apple_id,icloud_apple_id,True
@AppleSupport How bout fixing  the battery issues first  it sucks ass bout to get an android phone,battery_charging,battery_charging,True
@AppleSupport How do you get a new passcode if you forget it along with your security questions?,security_fraud,unknown,False
I don’t fucking see why I need internet to load pictures and videos that are saved on my phone @115858,wifi_connectivity,wifi_connectivity,True
@AppleSupport She says it’s showing but when she goes to purchase in game pieces it possibly won’t do it. She recently lost her debit card and is waiting for a new one. She just got the X. Maybe she has to verify herself?,app_store_purchases,app_store_purchases,True
"@AppleSupport hi you guys, can you finally fix the problem with battery drain on iphone 6? thx",battery_charging,battery_charging,True
"@AppleSupport  Hi, I made a transaction twice by mistake, please refund. All details at the photo https://t.co/K3GxrVC3LM",app_store_purchases,app_store_purchases,True
@AppleSupport why is there no icon so I can delete the notifications??????????????? Happens all the time https://t.co/BRg3wsitJC,notifications_messages,notifications_messages,True
Is anything going to be done about the iPhone 6 battery draining in five minutes with IOS 11? @AppleSupport,battery_charging,battery_charging,True
"@AppleSupport something went very wrong here …

(by the way, changed all passwords and told iCloud to erase iPad - still waiting for erase and using iPad)",icloud_apple_id,icloud_apple_id,True
@AppleSupport It’s synced to my iCloud,icloud_apple_id,icloud_apple_id,True
@115858 is there a way to remove @120330 news from the Apple News App. @120330 is such biased garbage!,app_issues,unknown,False
"@AppleSupport I have a purchased album that isn’t on my iPhone and also isn’t showing in my purchased items, can you help with this? Also not showing on iPod. Thanks https://t.co/lQOQIAerUt",app_store_purchases,app_store_purchases,True
@AppleSupport Wait up til 12 to order - enter my info and keeps saying its wrong now locked out- phones closed - how can I order a phone?,icloud_apple_id,unknown,False
"@AppleSupport Hello, all my services work but I always get this notification and will never actually sign in despite all services working. What gives? https://t.co/3yhnKv3QTq",icloud_apple_id,notifications_messages,False
"@AppleSupport Yes, version 11.1.1",software_ios,unknown,False
"@AppleSupport my iPhone keeps pocket dialling contacts in my phone, any way of making this stop?",hardware_device,hardware_device,True
@115858 your latest iPhone update sucks...literally!!  Battery drain is unreal... 😡😡,battery_charging,battery_charging,True
@AppleSupport Apple-iphone definitely was hacked-THOUSANDS of gigs of #photos #disappeared overnight @VerizonSupport,security_fraud,security_fraud,True
"@AppleSupport 
Help!!! Is this something you guys would send or is it an scam? https://t.co/oO0w1c76Ss",security_fraud,security_fraud,True
Seriously @115858 fix the bug which keeps randomly turning my Wi-Fi/Bluetooth on. It’s really annoying.,wifi_connectivity,wifi_connectivity,True
@AppleSupport me again! Today’s issue is that my Apple Watch 3 isn’t receiving email notifications. I sent my self some test emails to check,notifications_messages,notifications_messages,True
"@AppleSupport iPhone 8, 11.1, photos app.",app_issues,unknown,False
@AppleSupport Ive received an email stating they were you. Is there an email to report forward spam spoof phishing emails?,security_fraud,security_fraud,True
Since #ios11 has anyone else noticed that their touch screens in the upper top left hand side is very temperamental? @AppleSupport,hardware_device,hardware_device,True
Scammers trying to steal my Apple ID and pass. Unnoticing individuals will be so done. @AppleSupport https://t.co/VrkWmA6o4E,app_issues,security_fraud,False
"@AppleSupport If I were to buy a replacement SSD for my iMac Retina 5k, can I get the store to replace it for me?",mac_macos,mac_macos,True
Well shit @115858 you sure use a weird email address... Better click it and reset my password #scammers #lolwat #idonteven https://t.co/esNxp7uaEE,icloud_apple_id,security_fraud,False
@AppleSupport please cancel my 1:55 app't today at the genius bar--Jan ford,app_issues,unknown,False
Good morning to everyone except @115858 because my Mac crashed while attempting to download an “update” during FINALS 🤬,software_ios,software_ios,True
"New Security Update for #HighSierra - perhaps the Root Hack patch ? #apple #rootgate 
No additional informations @115858  ?",security_fraud,security_fraud,True
@AppleSupport why do MacBook Pro 💻 batteries expand and break for no reason? #newMacTime https://t.co/UMoaxYD93U,mac_macos,mac_macos,True
Hey @AppleSupport why does my phone battery suck now with your updates?? https://t.co/nejmjfOe3l,software_ios,battery_charging,False
"@AppleSupport Yes, currently happening after a fresh reboot. Moving files in Finder. Googling shows this is a fairly common issue, with no solution.",app_issues,mac_macos,False
@AppleSupport I am using iOS 11.1 and I joust noticed it yesterday. This is a recently purchased iPhone 7 so it’s still brand new with no damages,app_store_purchases,app_store_purchases,True
@AppleSupport upgraded to 11.0.2 now @126 crashes. What’s the deal?,software_ios,unknown,False
"@AppleSupport I usually kill the app and start again, Whatsapp is lagging too many apps are lagging.",app_issues,software_ios,False
"@AppleSupport I have a MacBook Air, and awhile ago, when I sign-in to my computer, it would of make a sound. It doesn't anymore. How can I get it back on?",mac_macos,mac_macos,True
"@AppleSupport Yes on OS = high sierra. Problem is copy and paste will work a little while and then randomly the copy feature no longer works, try edit&gt;copy previous clipboard entry pastes. Try again no help. Try cmnd+c and nope, what pastes is what i had copied before. Like there is a limit.",mac_macos,mac_macos,True
"@AppleSupport If your crap password reset page worked i would not be locked out of my account.
20 min and waiting for the bloody thing.",icloud_apple_id,icloud_apple_id,True
"My @115858 iMac died. That’d be bad enough, but adding insult to injury is the fact that mine is &lt; 1 month old. :-(",mac_macos,mac_macos,True
Is it just my router or is this SUPER DUPER IMPORTANT @115858 update not downloading for everyone else?,software_ios,software_ios,True
@applesupport UPS lost 2 iPhone Xs today. I'm getting serious runaround. Anything you all can do to help?,hardware_device,unknown,False
If you haven’t updated ur iphones don’t! Unitil u have no choice @115858 ever since my wife did she has had problemsCan’t login her Apple ID,icloud_apple_id,icloud_apple_id,True
@AppleSupport Tried all advice relating to iMac. Surely I shouldn’t need a new motherboard etc for late 2014 5k iMac?,mac_macos,mac_macos,True
@115858 @AppleSupport this happens to my lock screen once a day at least. I hope 11.2 is going to fix this. No date/time and can’t swipe Down to see notifications or control center. Only up to unlock. https://t.co/40uZKNUpKF,notifications_messages,notifications_messages,True
"Been trying to update an app for 2 days. Says ""waiting"". Tried to do an update. Says there's not one. Wth is going on?! @115858",software_ios,software_ios,True
"@AppleSupport got a call from this number telling me my iCloud had been hacked. Scam yes, but why is it from your Glendale store? https://t.co/mGCFR9qBr3",security_fraud,security_fraud,True
when you brought a macbook when they had the @118845 promotion and they didnt give you the free headphones...,mac_macos,mac_macos,True
"@116333 if my iPhone randomly jumps to full volume one more time, I'll fly to America and throw it at your face. R u doing it on purpose?",hardware_device,hardware_device,True
How can I change the mobile number on iTunes? I have tried to reset it but it won’t work. @AppleSupport,app_store_purchases,app_store_purchases,True
"@AppleSupport why is my IPhone X taking worse photos than a IPhone 7? And all my photos are fuzzy/blurry, and when you zoom in on the photo it clears up, but when you go back to the photos normal state its fuzzy again. I need help",hardware_device,unknown,False
@AppleSupport MacBook charger almost set my house on fire. How about a replacement?? https://t.co/6ylWqBphIH,battery_charging,battery_charging,True
@AppleSupport My text messages keep opening half way hidden what the shit do I need to go back to android?,notifications_messages,notifications_messages,True
Anyone else getting this on #iPhone #iOS11 doesn’t matter what app I’m in. Note someone’s #Facebook post is it as well. @AppleSupport #fb https://t.co/wMpU54R6JM,app_issues,software_ios,False
"Yo @115858, for the amount of fucking money I shelled out on my new MacBook Pro only to have the USB C charging to fail this quick is a joke.",battery_charging,battery_charging,True
@AppleSupport Trying to perform clean install of #MacOSHighSierra on my #MacBookAir. #AppleID keeps getting “locked for security reasons”. Resetting my password each time is getting tiresome 😒,icloud_apple_id,icloud_apple_id,True
"@AppleSupport Retina 5K, 27-inch, Mid 2015 High Sierra. Mail: Not syncing with gmail/g suite. Messages: Can't use Gooogle chat on it anymore... Would I need to use different app as a desktop client for google chat. If yes which one? Cheers",mac_macos,mac_macos,True
@UPSHelp @115817 @115858 @AppleSupport not impressed with how my new iMac was delivered! https://t.co/THMCBHq5tb,mac_macos,mac_macos,True
"@AppleSupport Is there a list of all apps that are allowed to record my screen like Uber? I want to delete all of them.

@115858",app_issues,hardware_device,False
My Applewatch won’t stop talking and keeps saying ‘buzzing’!!! I cant stop it and Mickey Mouse just told me the time... @AppleSupport Help!,app_issues,unknown,False
@AppleSupport is this a fake email https://t.co/HOdEqNxxyx,security_fraud,security_fraud,True
"@AppleSupport since updating to high sierra I'm seeing lots of notifications from Time Machine, which I don't use. How do I turn off?",mac_macos,mac_macos,True
@15293 @160285 @AppleSupport when are you gonna fix the issue with Pokémon GO plus and the bluetooth delay?,wifi_connectivity,wifi_connectivity,True
"Anyone else suffering with the ‘spinning pizza of death” this morning?
Frozen iMac @115858 
apps open, mail, iTunes #SPOD",app_issues,app_store_purchases,False
My phone keeps vibrating but I’m not getting any notifications @AppleSupport,notifications_messages,notifications_messages,True
"@AppleSupport  so what the hell i cant type ""I"" my battery is draining constantly wtf is this a way to make us but the X.",battery_charging,battery_charging,True
@115858 @115888 ...in addition: notification center woes and cellular network issues (no data) while off WiFi?,wifi_connectivity,wifi_connectivity,True
"@AppleSupport My Mac account is set in Italian, but just after the last security patch (17B1003), these #macOSHighSierra warns appears in mixed English and Italian. Any solution? https://t.co/o282WIprDW",mac_macos,mac_macos,True
"Dear @115858 your iOS 11 is giving issues of battery levels. Sometimes the battery is at 7 % but when you connect to charger or maybe unlock phone after locking, the battery becomes 15%. Why and what??",battery_charging,battery_charging,True
@AppleSupport is there a link that shows ALL 4K movies in the itunes library? Your banner link does not show every movie that is 4K.,app_store_purchases,app_store_purchases,True
"I hate this new update my phone doesn’t even last half a day fully charged !! 😡😡😡 , mmg @115858",software_ios,app_store_purchases,False
"@AppleSupport I have 2 computers in different rooms, my original thought was to be able to use icloud to jump between my computers and share files, I had Dropbox and switched to Icloud but it does not work the same at all. please help",icloud_apple_id,icloud_apple_id,True
"wowowowow my phone didn’t charge at all last night, gonna go and buy my sixth charger! thanks @115858! 🤠",battery_charging,battery_charging,True
"@AppleSupport can you point me to your policy on gift returns? Is it 14 days from purchase, or 14 days from when gift received?",app_store_purchases,app_store_purchases,True
@AppleSupport horrible customer service. Literally held on for 15 minutes and no advisor helped me. No wonder y'all are frauds. https://t.co/KOXRPNzyxL,security_fraud,security_fraud,True
@115858 @AppleSupport @46228 I️ would like to use the letter “I️” in posts and messages by apparently I️ am unable to type anything other than I️. I️ even tried to trick it and write I️ but this bug is smarter than me. Do you see the problem I️ am speaking of?,notifications_messages,software_ios,False
@AppleSupport hi. Is this likely to be real or a phishing attempt pls #phish #real https://t.co/rjgqyhDWcF,security_fraud,security_fraud,True
"@AppleSupport Hiya. I tried three different charging cables and tried plugging it into computers, laptops and the wall socket but nothing worked. No battery icon or anything. It doesn't respond to anything so it's definitely turned off",battery_charging,battery_charging,True
"@AppleSupport I got disconnected, will they call me back?",wifi_connectivity,wifi_connectivity,True
@115858 I dropped my phone listening to music &amp; the #dongle broke. #WTF??? #disappointed #apple https://t.co/Eig8Z4WO7W,app_issues,unknown,False
"@AppleSupport my 2 month old watch does not work and your support site with my case crashes, what am i supposed to do? https://t.co/wd8NqEmrC5",software_ios,unknown,False
"i hate @115858 ! Can’t type i, can’t log in to my own account because of the two-factor authentication, can not wait to witch to a @728029",icloud_apple_id,unknown,False
@AppleSupport est-ce que le bug qui consiste à ne pas se déconnecter complètement du wifi et Bluetooth en iOS 11 va bientôt être corrigé ?,wifi_connectivity,wifi_connectivity,True
"@115858 since the last update, why does my phone now seem to select its own brightness, volume &amp; Bluetooth connections?",wifi_connectivity,wifi_connectivity,True
@AppleSupport @156471 Why do I have to continually reboot so I can send iMessages? This is what I used to do with my old BB. #insane,notifications_messages,notifications_messages,True
@AppleSupport I got an e-mail from this address but I'm not sure if open it because i think ir could be a scam. https://t.co/XkR5Zd8nZJ,security_fraud,security_fraud,True
why does my phone have the cheek to turn on bluetooth whenever i restart it ? ? ? @115858 please stop this X,wifi_connectivity,wifi_connectivity,True
"@AppleSupport With iOS 11, I understand that you've changed the format for images from .jpg to .heic which means I can't download to a pc?",software_ios,software_ios,True
@AppleSupport just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,software_ios,software_ios,True
My shitty iPhone won't charge @115858,battery_charging,battery_charging,True
@AppleSupport @115858 hey my phone doesn’t load emails or send iMessage after the upgrade. What’s up?,notifications_messages,notifications_messages,True
"@AppleSupport I've never backed up to iTunes, but yes I have a Mac that has iTunes and I've considered doing that before I reset the settings. But I bought this phone about 3 or 4 months ago, its a 7 plus, and it's never been backed up.",app_store_purchases,app_store_purchases,True
@AppleSupport I have 11.0.2 but it’s started since iOS 11 and I have an iPhone 6s,software_ios,software_ios,True
"@AppleSupport This doesn’t fix my issue, my screen rotates when I DO NOT want it to...",hardware_device,hardware_device,True
@AppleSupport why does iMessage hate me lol ..,notifications_messages,notifications_messages,True
"@83782 my brothers cable purchased from you was not good and stopped workin in few months, he give it to store and not get from 1 month, what kinda service you are providing? @115858",app_store_purchases,app_store_purchases,True
@AppleSupport Oh yeah and my notifications are not working.,notifications_messages,notifications_messages,True
@AppleSupport just got spam email from a would-be hacker. Email address: __email__ https://t.co/OqFnwIPkH0,security_fraud,security_fraud,True
@AppleSupport even if it’s downloaded onto my phone and ipad?,hardware_device,unknown,False
@AppleSupport why is my battery dying so quickly since the update it was fully charged two hours ago and I’ve hardly used my phone,battery_charging,battery_charging,True
@AppleSupport what's my iCloud password again? I always forget.,icloud_apple_id,icloud_apple_id,True
@AppleSupport Also I have to charge the battery thrice a day..seems the battery is dying though the phone is not even 2 yrs old. Look forward to your help. Tks https://t.co/zoctagG1Rl,battery_charging,battery_charging,True
@AppleSupport I need to speak to someone asap about an email I received. I need to know if it's fraud or not. It's really important,security_fraud,security_fraud,True
"Aller hop mon iPhone détecte plus du tout mon chargeur, super merci @115858 !",battery_charging,unknown,False
iOS 11 is horrible! Drains my battery 1% a minute when I’m using data. Phone gets really hot as well! 😡 @115858,battery_charging,battery_charging,True
@AppleSupport @118101 why is my phone not connecting calls?!😩😩 very confused.,wifi_connectivity,wifi_connectivity,True
Is my Apple Music the only one tripping.. songs not adding to library or playlists.. playlist outta order! @AppleSupport @115948,app_issues,unknown,False
"@AppleSupport I have tried every possible way of maximising the battery life. Background refresh is off, mail isn’t pushed, brightness is down.",battery_charging,battery_charging,True
"@AppleSupport Yes, on Messages and on Twitter as well. Only on the lock screen notifications. Thanks for the reply :)",notifications_messages,notifications_messages,True
@AppleSupport this is a fake email right https://t.co/FqPfrhaXj4,security_fraud,security_fraud,True
"Yep cheers iTunes, how do I fix this? Preordered the album this week @AppleSupport #WhoBuiltTheMoon https://t.co/yvyfuAsR8s",app_store_purchases,app_store_purchases,True
"Hey @AppleSupport, I have a problem to receive your SMS to verify my phone number on my apple ID and for two steps verification.
HELP ! DM ?",app_issues,icloud_apple_id,False
"@AppleSupport Thanks a lot for your reply. What I had, was the blinking question mark on the screen and the Mac did not react at all. It happened after downloading High Sierra. I solved connecting an external backup disk but I’m back to Sierra, not High Sierra",mac_macos,wifi_connectivity,False
"@AppleSupport I know my account isn’t hacked or anything, someone would have to be on my phone to do this. I can’t cancel them, and I have no idea how they got there.",security_fraud,security_fraud,True
"WTF @AppleSupport, iPhone 6s plus battery only lasting half a day after iOS 11 upgrades 😠😡 !",software_ios,battery_charging,False
.@115858 what the FUCK did I just get charged for https://t.co/PeI2wCxazz,battery_charging,app_store_purchases,False
@AppleSupport Turned off iCloud and BOOM -- All files on desktop deleted. High Sierra Holy Smokes!! Unacceptable FAIL!!,mac_macos,icloud_apple_id,False
"@AppleSupport  Hi Purchased  iphone 7 last yr from apple online , wish to change provider to #EE  I take it I just swop the SIM card over?",app_store_purchases,app_store_purchases,True
@115858 please help. The macOS update High Sierra has got stuck and has been saying “5 mins remaining” for the last 45mins! What can I do,mac_macos,mac_macos,True
@AppleSupport Yes. I'm pretty tech savvy and am even logged into itunes and still not going thru. Just spend 40 minutes on the phone w/ Capital One and they confirm all is good with my account.,icloud_apple_id,app_store_purchases,False
@115858 next time could you maybe fix the bug where it stops connecting peoples WiFi because that seems to be the main issue here xo https://t.co/lJVcYnvIMt,wifi_connectivity,wifi_connectivity,True
"@AppleSupport Can't complete my X pre-confirm because I'm blocked by this erroneous error. There is no way to ""continue to the next page."" https://t.co/vFNHVEBI0W",icloud_apple_id,unknown,False
Y’all gotta fix the WiFi settings bc when I have “ask to join networks” turned off this shit is STILL asking me like every five minutes wtf @115858,wifi_connectivity,wifi_connectivity,True
My iPhone been messing up rs this dumb shit turns off by itself &amp; stops my music by itself @115858 fix your guys problems ASAP😤,hardware_device,unknown,False
@AppleSupport Trying no via iTunes,app_store_purchases,app_store_purchases,True
Hey @115858 I️ would like to know why the fuck I️ can’t type I️ on my phone without it looking all whack.,security_fraud,security_fraud,True
@115858 I want to break up with you! Several iPhones and Macs. Mac Pro Retina that is 2 years old is DEAD. #WhatHappenedApple #JobswouldnotbeHappy #IwillSTOPsuggestingApple  #LongevityOVER #disappointed #PriceNolongerJustified,app_issues,unknown,False
Nearly fell for this Phishing email. Glad I checked the Sent From email id @118936 @AppleSupport @115858 https://t.co/B1R6B0f4mN,security_fraud,security_fraud,True
@AppleSupport When I try to type the word “it” I.T automatically changes to “I.T” and I’ve tried to change I.T in the keyboard shortcut settings but it’s still not working.,hardware_device,hardware_device,True
@AppleSupport iCloud I think!,icloud_apple_id,icloud_apple_id,True
Anyone else seen this weird behavior in iOS 11? Not sure who this cellular carrier is. @AppleSupport https://t.co/IoVP0Aq1jB,software_ios,software_ios,True
"Por qué con el nuevo IOS, se activa el wifi y Bluetooth automáticamente, sin que yo los active? @12228 @AppleSupport",wifi_connectivity,wifi_connectivity,True
"@AppleSupport 11.1. Messages out of order, an emoji of an A in a box keeps popping up without me using it in messages and it’s slower",notifications_messages,software_ios,False
"@AppleSupport Password changes aren’t propagating across my devices. In some cases, very old passwords are turning up again.",icloud_apple_id,unknown,False
